name,coord,dm
zach,20h40m47.886s +72d52m56.378s,30
whitney,08h58m52.92s +73d29m27.0s,30
oran,21h12m10.760s +72d49m38.20s,30
gertrude,04h55m46.96s +69d55m44.8s,30
isha,04h45m38.64s +70d18m26.6s,30
wilhelm,21h00m31.09s +72d02m15.22s,30
phineas,11h51m07.52s +71d41m44.3s,30
freya,05h52m45.12s +74d12m01.7s,30
pingu,11h09m26.047s +72d33m28.02s,30
hamilton,20h20m08.92s +70d47m33.96s,30
mahi,02h39m03.96s +71d01m04.3s,30
chromatica,20h50m28.59s +73d54m00.0s,30
casey,11h19m56.05s +70d40m34.4s,30
johndoe (II),22h23m53.94s +73d01m33.26s,30
