name,coord,dm,tau_ms_1400MHz,bw_kHz_1400MHz
zach,20h40m47.886s +72d52m56.378s,30,0.0002045286859404433,778.1546258906668
whitney,08h58m52.92s +73d29m27.0s,30,6.062074059396963e-05,2625.4206321545266
oran,21h12m10.760s +72d49m38.20s,30,0.000259576882169048,613.1321932907977
gertrude,04h55m46.96s +69d55m44.8s,30,0.0002977267348043153,534.5671869088342
isha,04h45m38.64s +70d18m26.6s,30,0.00031973734007883863,497.76777104811083
wilhelm,21h00m31.09s +72d02m15.22s,30,0.00025272546396237804,629.754281964986
phineas,11h51m07.52s +71d41m44.3s,30,3.865061794110815e-05,4117.785214570162
freya,05h52m45.12s +74d12m01.7s,30,0.00014584147251978986,1091.2872747516926
pingu,11h09m26.047s +72d33m28.02s,30,4.2171314899474857e-05,3774.0095008011526
hamilton,20h20m08.92s +70d47m33.96s,30,0.00019680212149724083,808.705423910416
mahi,02h39m03.96s +71d01m04.3s,30,0.0010866728943034812,146.46076471237282
chromatica,20h50m28.59s +73d54m00.0s,30,0.000205087495317695,776.0343596051681
casey,11h19m56.05s +70d40m34.4s,30,3.907516877608185e-05,4073.0455702936088
johndoe (II),22h23m53.94s +73d01m33.26s,30,0.00044446935026151187,358.0785559189931
